,Unnamed: 0,Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume,sentiment
1001,1001,2018-04-06,153.46,153.95,149.54,150.57,3672812.0,0.0,1.0,146.54627991211143,147.01420430385474,142.8028847781646,143.7864809485639,3672812.0,3.0
1002,1002,2018-04-09,151.8,154.66,151.7433,152.69,4413178.0,0.0,1.0,144.96106666661356,147.6922171980135,144.90692112985468,145.8109701536576,4413178.0,-7.0
1003,1003,2018-04-10,155.03,156.605,154.75,155.39,3843752.0,0.0,1.0,148.04554786116663,149.54959054891313,147.77816249445618,148.38932904693726,3843752.0,7.0
1004,1004,2018-04-11,154.37,155.78,153.88,155.36,3209681.0,0.0,1.0,147.41528235392053,148.76175866485545,146.94735796217716,148.36068061478974,3209681.0,0.0
1005,1005,2018-04-12,156.75,158.98,156.67,158.07,5639298.0,0.0,1.0,149.68805797095962,151.81759142726102,149.6116621518995,150.94858898545192,5639298.0,-4.0
1006,1006,2018-04-13,158.67,159.22,155.91,156.71,4056637.0,0.0,1.0,151.52155762840297,152.04677888444144,148.88590187082818,149.6498600614296,4056637.0,5.0
1007,1007,2018-04-16,157.99,159.14,157.67,157.89,4185601.0,0.0,1.0,150.8721931663918,151.97038306538127,150.56660989015126,150.77669839256657,4185601.0,6.0
1008,1008,2018-04-17,158.82,162.0,158.51,160.91,10117767.0,0.0,1.0,151.66479978914077,154.70153359678127,151.3687659902827,153.66064056208685,10117767.0,0.0
1009,1009,2018-04-18,152.14,152.63,148.26,148.79,20374121.0,0.0,1.0,145.28574889761913,145.7536732893625,141.5805516732024,142.08667397447581,20374121.0,-1.0
1010,1010,2018-04-19,149.19,149.2072,146.62,147.7,8085437.0,0.0,1.0,142.4686530697765,142.48507817087446,140.01443738246957,141.0457809397814,8085437.0,4.0
1011,1011,2018-04-20,147.9,147.97,144.51,144.9,8265643.0,0.0,1.0,141.23677048743178,141.30361682910942,137.99949765475841,138.37192727267657,8265643.0,-1.0
1012,1012,2018-04-23,145.03,145.96,144.33,145.86,5313292.0,0.0,1.0,138.4960704786493,139.38417187522342,137.8276070618731,139.28867710139826,5313292.0,-8.0
1013,1013,2018-04-24,146.51,147.3,144.53,145.56,4916158.0,0.0,1.0,139.90939313126185,140.66380184448076,138.01859660952343,139.00219277992272,4916158.0,-5.0
1014,1014,2018-04-25,145.79,146.4,144.111,145.94,7324654.0,0.0,1.0,139.2218307597206,139.80434888005422,137.61847350719594,139.36507292045835,7324654.0,-10.0
1015,1015,2018-04-26,146.6,147.36,146.2,146.72,4264432.0,0.0,1.0,139.99533842770452,140.72109870877586,139.61335933240386,140.10993215629472,4264432.0,2.0
1016,1016,2018-04-27,146.84,147.25,145.66,146.48,3205021.0,0.0,1.0,140.22452588488494,140.61605445756814,139.09768755374787,139.8807446991143,3205021.0,8.0
1017,1017,2018-04-30,146.86,147.38,144.96,144.96,4413515.0,0.0,1.0,140.24362483964998,140.74019766354087,138.4292241369717,138.4292241369717,4413515.0,9.0
1018,1018,2018-05-01,144.65,145.02,143.47,145.0,4430674.0,0.0,1.0,138.13319033811362,138.4865210012668,137.00635200697658,138.46742204650178,4430674.0,-8.0
1019,1019,2018-05-02,144.46,144.82,142.07,142.45,5194226.0,0.0,1.0,137.95175026784582,138.29553145361643,135.66942517342414,136.0323053139598,5194226.0,6.0
1020,1020,2018-05-03,142.13,142.23,139.9,141.99,5017227.0,0.0,1.0,135.7267220377193,135.82221681154442,133.5971885814179,135.59302935436406,5017227.0,4.0
1021,1021,2018-05-04,141.1,144.35,140.28,143.91,4400350.0,0.0,1.0,134.74312586731995,137.84670601663808,133.96006872195358,137.42652901180736,4400350.0,3.0
1022,1022,2018-05-07,144.0,144.32,142.6403,143.22,3657009.0,0.0,1.0,137.51247430825,137.81805758449056,136.21403186854909,136.76761507241366,3657009.0,1.0
1023,1023,2018-05-08,143.0,143.507,142.06,143.0,5367438.0,0.0,1.0,136.55752656999826,137.04168507329194,135.65987569604164,136.55752656999826,5367438.0,-2.0
1024,1024,2018-05-09,141.9,143.02,141.28,142.61,4195121.0,1.57,1.0,136.9988877320742,138.0802038297481,136.40030203514758,137.68436490113532,4195121.0,3.0
1025,1025,2018-05-10,143.15,144.33,143.01,144.24,3726608.0,0.0,1.0,138.20571373394236,139.34495747970593,138.0705492217331,139.25806600757141,3726608.0,-4.0
1026,1026,2018-05-11,144.11,144.85,143.58,144.14,3073154.0,0.0,1.0,139.13255610337708,139.84699709648305,138.62086187858506,139.16151992742192,3073154.0,8.0
1027,1027,2018-05-14,144.47,145.12,144.14,144.3,3215062.0,0.0,1.0,139.48012199191515,140.10767151288658,139.16151992742192,139.3159936556611,3215062.0,-10.0
1028,1028,2018-05-15,143.5,143.99,142.92,143.74,4088991.0,0.0,1.0,138.54362501446545,139.01670080719776,137.9836577495986,138.77533560682414,4088991.0,-5.0
1029,1029,2018-05-16,143.7,145.0275,143.27,144.63,3168494.0,0.0,1.0,138.73671717476438,140.01836638874835,138.3215690301217,139.6345957201543,3168494.0,4.0
1030,1030,2018-05-17,144.5,145.19,143.77,144.5,3147470.0,0.0,1.0,139.50908581596002,140.1752537689912,138.80429943086898,139.50908581596002,3147470.0,-8.0
1031,1031,2018-05-18,144.47,144.94,143.99,144.08,2677517.0,0.0,1.0,139.48012199191515,139.93388856861756,139.01670080719776,139.10359227933228,2677517.0,-3.0
1032,1032,2018-05-21,144.95,146.04,144.68,145.49,2894698.0,0.0,1.0,139.94354317663252,140.99589545026154,139.68286876022898,140.46489200943958,2894698.0,0.0
1033,1033,2018-05-22,145.52,146.204,145.0,145.09,2284020.0,0.0,1.0,140.49385583348442,141.15423102170666,139.99181621670724,140.07870768884177,2284020.0,-1.0
1034,1034,2018-05-23,144.35,144.7,143.48,144.67,3459747.0,0.0,1.0,139.3642666957358,139.70217797625887,138.52431579843557,139.67321415221406,3459747.0,-1.0
1035,1035,2018-05-24,144.39,144.48,142.95,144.07,3398601.0,0.0,1.0,139.40288512779557,139.48977659993008,138.01262157364343,139.09393767131732,3398601.0,5.0
1036,1036,2018-05-25,143.9,144.57,143.46,143.64,4914194.0,0.0,1.0,138.92980933506323,139.5766680720646,138.50500658240568,138.67878952667468,4914194.0,1.0
1037,1037,2018-05-29,142.53,142.89,140.21,141.22,4537638.0,0.0,1.0,137.60712803701574,137.95469392555376,135.36725897754846,136.3423743870579,4537638.0,7.0
1038,1038,2018-05-30,141.9,143.1,141.82,142.62,5118530.0,0.0,1.0,136.9988877320742,138.15744069386764,136.9216508679546,137.69401950915025,5118530.0,3.0
1039,1039,2018-05-31,142.81,142.81,141.05,141.31,6829459.0,0.0,1.0,137.87745706143423,137.87745706143423,136.17824605080386,136.4292658591924,6829459.0,-8.0
1040,1040,2018-06-01,142.43,142.84,141.62,141.95,3856317.0,0.0,1.0,137.5105819568663,137.90642088547906,136.72855870765574,137.0471607721489,3856317.0,-1.0
1041,1041,2018-06-04,142.3,143.17,142.18,143.04,3035198.0,0.0,1.0,137.38507205267203,138.22502294997224,137.26921675649268,138.09951304577794,3035198.0,4.0
1042,1042,2018-06-05,143.05,144.08,143.04,143.7,2835837.0,0.0,1.0,138.10916765379292,139.10359227933228,138.09951304577794,138.73671717476438,2835837.0,-2.0
1043,1043,2018-06-06,144.34,144.72,143.54,144.71,3220139.0,0.0,1.0,139.35461208772085,139.72148719228878,138.5822434465252,139.71183258427382,3220139.0,8.0
1044,1044,2018-06-07,145.0,146.7,144.93,145.36,4263382.0,0.0,1.0,139.99181621670724,141.63309957924798,139.92423396060263,140.33938210524528,4263382.0,3.0
1045,1045,2018-06-08,145.0,146.43,144.37,146.14,5210116.0,0.0,1.0,139.99181621670724,141.37242516284442,139.38357591176572,141.092441530411,5210116.0,2.0
1046,1046,2018-06-11,146.62,147.41,146.14,146.58,3259986.0,0.0,1.0,141.5558627151284,142.31857674830906,141.092441530411,141.5172442830686,3259986.0,-10.0
1047,1047,2018-06-12,147.1,147.52,146.62,146.87,2640503.0,0.0,1.0,142.01928389984576,142.42477743647348,141.5558627151284,141.79722791550202,2640503.0,5.0
1048,1048,2018-06-13,146.79,147.47,146.2,146.35,2967991.0,0.0,1.0,141.71999105138246,142.37650439639873,141.15036917850068,141.29518829872487,2967991.0,-1.0
1049,1049,2018-06-14,146.65,146.98,145.09,145.2,3326233.0,0.0,1.0,141.58482653917324,141.9034286036664,140.07870768884177,140.18490837700614,3326233.0,-5.0
1050,1050,2018-06-15,144.9,145.47,143.7,145.39,9115939.0,0.0,1.0,139.8952701365578,140.4455827934097,138.73671717476438,140.3683459292901,9115939.0,6.0
1051,1051,2018-06-18,144.18,144.52,143.14,144.48,3955833.0,0.0,1.0,139.20013835948174,139.52839503198987,138.1960591259274,139.48977659993008,3955833.0,-6.0
1052,1052,2018-06-19,143.12,144.22,142.95,143.9,3481239.0,0.0,1.0,138.17674990989752,139.2387567915415,138.01262157364343,138.92980933506323,3481239.0,4.0
1053,1053,2018-06-20,144.22,144.52,142.41,142.63,3328267.0,0.0,1.0,139.2387567915415,139.52839503198987,137.49127274083642,137.7036741171652,3328267.0,-8.0
1054,1054,2018-06-21,142.59,143.14,140.83,141.25,3887629.0,0.0,1.0,137.6650556851054,138.1960591259274,135.96584467447505,136.37133821110274,3887629.0,7.0
1055,1055,2018-06-22,141.64,141.81,140.78,141.28,5979237.0,0.0,1.0,136.7478679236856,136.91199625993968,135.9175716344003,136.40030203514758,5979237.0,0.0
1056,1056,2018-06-25,140.4,140.4,138.28,138.79,8937085.0,0.0,1.0,135.5506965298324,135.5506965298324,133.503919630664,133.9963046394262,8937085.0,-1.0
1057,1057,2018-06-26,139.36,139.8499,138.33,139.08,4139455.0,0.0,1.0,134.5466172962781,135.01959654293023,133.55219267073872,134.27628827185956,4139455.0,-1.0
1058,1058,2018-06-27,139.11,139.78,137.45,137.48,4097588.0,0.0,1.0,134.30525209590445,134.9521108329058,132.7025871654235,132.73155098946836,4097588.0,1.0
1059,1059,2018-06-28,138.1,140.54,137.945,140.04,4523456.0,0.0,1.0,133.33013668639495,135.68586104204158,133.18049026216332,135.20313064129436,4523456.0,-7.0
1060,1060,2018-06-29,140.32,141.359,139.61,139.7,3753684.0,0.0,1.0,135.47345966571282,136.47657343846566,134.78798249665172,134.8748739687862,3753684.0,4.0
1061,1061,2018-07-02,138.28,140.22,138.2,139.86,3405612.0,0.0,1.0,133.503919630664,135.37691358556341,133.42668276654442,135.02934769702534,3405612.0,-1.0
1062,1062,2018-07-03,140.65,140.94,139.3678,139.57,1963232.0,0.0,1.0,135.79206173020606,136.07204536263944,134.55414789052972,134.74936406459193,1963232.0,-4.0
1063,1063,2018-07-05,140.48,141.43,139.93,141.43,3744730.0,0.0,1.0,135.62793339395193,136.54512115537176,135.09692995312997,136.54512115537176,3744730.0,3.0
1064,1064,2018-07-06,141.53,142.94,141.17,142.48,2910426.0,0.0,1.0,136.64166723552125,138.0029669656285,136.29410134698318,137.55885499694102,2910426.0,-7.0
1065,1065,2018-07-09,142.59,144.72,142.47,144.39,3901282.0,0.0,1.0,137.6650556851054,139.72148719228878,137.5492003889261,139.40288512779557,3901282.0,7.0
1066,1066,2018-07-10,144.51,145.59,144.255,144.71,3775080.0,0.0,1.0,139.51874042397492,140.56143808958902,139.27254791959382,139.71183258427382,3775080.0,-2.0
1067,1067,2018-07-11,144.0,146.19,144.0,144.94,3480960.0,0.0,1.0,139.02635541521272,141.14071457048573,139.02635541521272,139.93388856861756,3480960.0,9.0
1068,1068,2018-07-12,145.85,146.83,145.74,146.45,3117802.0,0.0,1.0,140.8124578979776,141.75860948344226,140.7062572098132,141.39173437887433,3117802.0,-8.0
1069,1069,2018-07-13,146.45,146.9799,145.8,145.9,3067638.0,0.0,1.0,141.39173437887433,141.90333205758625,140.76418485790288,140.86073093805234,3067638.0,3.0
1070,1070,2018-07-16,145.67,145.79,144.21,145.46,3468817.0,0.0,1.0,140.63867495370854,140.7545302498879,139.22910218352658,140.43592818539472,3468817.0,0.0
1071,1071,2018-07-17,144.75,145.0,143.34,143.49,5095234.0,0.0,1.0,139.75045101633359,139.99181621670724,138.38915128622634,138.53397040645052,5095234.0,-3.0
1072,1072,2018-07-18,143.51,144.8,142.7351,144.52,6817140.0,0.0,1.0,138.55327962248035,139.79872405640836,137.80514404740228,139.52839503198987,6817140.0,-10.0
1073,1073,2018-07-19,147.85,150.54,147.25,149.24,14583811.0,0.0,1.0,142.74337950096663,145.34046905698696,142.16410302006994,144.0853700150441,14583811.0,2.0
1074,1074,2018-07-20,148.58,148.86,146.26,146.35,6415857.0,0.0,1.0,143.4481658860577,143.71849491047615,141.20829682659036,141.29518829872487,6415857.0,9.0
1075,1075,2018-07-23,146.35,146.7,145.015,145.7,3769025.0,0.0,1.0,141.29518829872487,141.63309957924798,140.00629812872964,140.6676387777534,3769025.0,3.0
1076,1076,2018-07-24,146.7,147.04,145.92,146.38,3891620.0,0.0,1.0,141.63309957924798,141.9613562517561,140.8800401540822,141.32415212276968,3891620.0,-5.0
1077,1077,2018-07-25,146.01,146.65,145.5,146.62,3631017.0,0.0,1.0,140.96693162621668,141.58482653917324,140.47454661745448,141.5558627151284,3631017.0,0.0
1078,1078,2018-07-26,147.43,149.27,146.63,146.71,4776840.0,0.0,1.0,142.33788596433897,144.11433383908889,141.5655173231433,141.6427541872629,4776840.0,5.0
1079,1079,2018-07-27,146.89,147.14,144.66,145.15,3749286.0,0.0,1.0,141.8165371315319,142.05790233190552,139.66355954419907,140.13663533693142,3749286.0,2.0
1080,1080,2018-07-30,144.8,146.24,144.69,145.49,3608283.0,0.0,1.0,139.79872405640836,141.18898761056047,139.69252336824394,140.46489200943958,3608283.0,-8.0
1081,1081,2018-07-31,145.74,145.8,144.159,144.93,5474166.0,0.0,1.0,140.7062572098132,140.76418485790288,139.17986368265034,139.92423396060263,5474166.0,-5.0
